,time,Inv C: Rep G,Inv C : Rep T,Inv C : Rep C,Inv C : Rep A,Inv isoC : Rep G,Inv isoC: Rep T,Inv isoC: Rep C,Inv isoC: Rep A,Inv isoC : Rep isoG
777,46710,20.03119869,1.532840722,1.185550082,1.541871921,6.626436782,1.63546798,2.428571429,5.203612479,20.01460032
778,46770,19.40968801,1.628899836,1.316912972,1.726600985,6.744663383,1.776683087,2.082101806,5.838259442,20.11497749
779,46830,19.83990148,1.880952381,1.334154351,1.533661741,6.431034483,1.564860427,2.122331691,5.130541872,20.17885388
780,46890,20.1543514,1.642857143,1.468801314,1.447454844,6.052545156,1.538587849,2.07635468,5.276683087,20.50634708
781,46950,19.79310345,1.904761905,1.434318555,1.256157635,6.007389163,1.254515599,2.301313629,5.485221675,19.85744413
782,47010,20,1.753694581,1.728243021,1.650246305,5.960591133,1.768472906,1.863711002,5.408045977,20.04400373
783,47070,19.55582923,1.883415435,1.410509031,1.33908046,6.463054187,1.757799672,2.491789819,5.323481117,20.20217382
784,47130,20.42036125,1.823481117,1.596880131,1.464696223,6.378489327,1.591954023,2.129720854,5.144499179,20.30153709
785,47190,20.06896552,1.807881773,1.298850575,1.384236453,6.261904762,1.516420361,2.160098522,5.564860427,19.99128037
786,47250,19.57799672,2.002463054,1.76272578,1.33908046,6.058292282,1.704433498,2.124794745,5.277504105,20.00851685
787,47310,20.39326765,1.805418719,1.549261084,1.658456486,6.477011494,1.412151067,2.02545156,5.676518883,19.65668978
788,47370,20.05172414,1.880952381,1.567323481,1.306239737,6.336617406,1.513957307,1.97865353,5.76683087,20.02473942
789,47430,20.01970443,1.646962233,1.674055829,1.713464696,6.445812808,1.761083744,1.827586207,5.375205255,19.6952184
790,47490,20.13382594,1.78817734,1.448275862,1.403119869,6.139573071,1.444170772,2.073070608,5.148604269,20.08151843
791,47550,19.66174056,2.011494253,1.36453202,1.509852217,6.611658456,1.642036125,2.345648604,5.575533662,20.51547228
792,47610,20.23399015,1.508210181,1.279967159,1.592775041,6.613300493,1.541871921,2.370279146,5.510673235,19.99736383
793,47670,20.11001642,1.706075534,1.467159278,1.701149425,6.007389163,1.684729064,1.860426929,5.458128079,19.77531735
794,47730,20.23481117,2.05090312,1.270935961,1.678981938,5.988505747,1.796387521,2.161740558,5.683908046,20.08962972
795,47790,19.68144499,1.976190476,1.751231527,1.518883415,6.339901478,1.88998358,2.032840722,5.293103448,20.21941031
796,47850,20.29146141,2.114942529,1.25862069,1.367816092,6.244663383,1.791461412,1.899014778,5.220032841,19.88786146
797,47910,19.77996716,1.499178982,1.506568144,1.761083744,6.745484401,1.301313629,1.83908046,5.511494253,20.13221398
798,47970,20.43760263,1.774220033,1.527093596,1.472085386,6.302134647,1.47865353,1.95320197,5.429392447,19.7144827
799,48030,20.00821018,2.037766831,1.613300493,1.433497537,6.440065681,1.539408867,1.86863711,5.931855501,20.44551243
800,48090,20.0771757,1.389162562,1.437602627,1.267651888,6.665845649,1.519704433,1.999178982,5.410509031,19.67291236
801,48150,19.91461412,1.550082102,1.465517241,1.468801314,6.89819376,1.841543514,2.320197044,5.877668309,20.19507645
