,time,Inv C: Rep G,Inv T: Rep G,Inv G: Rep G,Inv A: Rep G,Inv C: Rep isoG,Inv T: Rep isoG,Inv G: Rep isoG,Inv A: Rep isoG
525,47250,19.63218969,2.100456621,1.416781869,0.9132420091,8.413556198,5.907586611,5.218884839,0.4356750869
526,47340,20.32340497,2.496753383,1.140295756,0.7967827071,8.220853756,5.760127351,5.782748942,0.9727284152
527,47430,20.46081019,2.358510326,1.448619664,0.9375392736,8.417745381,5.619370785,5.738343597,0.6451342633
528,47520,20.29826987,2.564618156,1.247538855,0.4901344728,8.31888065,5.509614176,5.602614051,0.42981023
529,47610,19.92040551,1.823132671,1.452808848,0.7138368732,7.910016338,5.788613799,5.545641155,0.4859452893
530,47700,19.85589209,1.964727075,1.258430732,0.6752963847,8.641447782,5.497884462,5.618532948,0.4683507184
531,47790,20.11897281,2.00159189,1.384944074,0.8847555611,8.216664572,5.849775879,5.579154623,0.7398098111
532,47880,19.71345985,2.393699468,1.137782246,0.4884587994,8.196556491,5.487830422,6.122072808,0.3284319886
533,47970,19.61375728,2.145699803,1.343890076,0.8755393574,8.38506975,5.805370533,5.791965146,0.7012693226
534,48060,20.09802689,2.209375393,1.484646642,0.6962423024,8.563528968,6.007289179,5.695613925,0.6300532026
535,48150,19.95308114,2.308240124,1.476268275,0.6752963847,7.94771899,5.765154371,5.438398056,0.5579992459
536,48240,19.73691927,1.941267647,1.374890034,0.7481881781,7.917556868,5.488668259,5.544803318,0.4624858615
537,48330,19.85589209,2.341753592,1.265133425,0.8688366637,8.126178208,5.382262997,5.711532822,0.7733232793
538,48420,19.89778392,2.176699761,1.250052365,0.6024045913,8.346529261,5.79866784,5.896694734,0.7565665452
539,48510,20.31921578,2.474131792,1.258430732,0.6417829165,8.067529638,5.749235474,5.910100121,0.4097021491
540,48600,20.41891835,2.295672573,1.219052407,1.023836454,8.355745465,5.891667714,5.614343764,0.6535126304
541,48690,19.53583847,2.22278078,1.283565833,0.7657827489,8.543420887,6.039126974,5.891667714,0.8185664614
542,48780,20.00167567,2.540320891,1.398349462,0.9492689875,8.09015123,5.734154413,5.696451762,0.8872690713
543,48870,19.62045997,2.252105065,1.023836454,0.8713501739,8.323069834,5.679695027,5.79615433,0.5864856939
544,48960,19.79808135,2.465753425,1.254241548,0.8261069917,8.404339994,6.08855934,6.184072724,0.6618909974
545,49050,20.09048636,2.024213481,1.550835742,0.9174311927,8.272799631,5.681370701,5.88496502,0.4247832098
546,49140,19.85337858,2.180051108,1.487160152,0.7615935654,8.062502618,5.920991999,5.838884002,0.6099451217
547,49230,19.44283859,2.360186,1.322106321,1.056512086,8.53504252,5.780235432,6.140505216,0.5982154078
548,49320,19.65062209,2.21524025,1.43940346,0.7607557287,8.346529261,5.932721713,5.74253278,1.036404005
549,49410,19.84918939,2.387834611,1.493025009,1.112647145,8.157178166,6.057559382,5.911775795,0.4172426794
550,49500,20.2806753,2.29902392,1.232457794,0.7959448703,8.31134012,5.618532948,5.636965355,0.7758367894
